,AñoTrimestre,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,HASTA 512 kbps_Rate_of_Growth,+ 512 Kbps - 1 Mbps_Rate_of_Growth,+ 1 Mbps - 6 Mbps_Rate_of_Growth,+ 6 Mbps - 10 Mbps_Rate_of_Growth,+ 10 Mbps - 20 Mbps_Rate_of_Growth,+ 20 Mbps - 30 Mbps_Rate_of_Growth,+ 30 Mbps_Rate_of_Growth
25,2020Q2,3020.9166666666665,3972.0,110479.25,41205.708333333336,28564.791666666668,19888.75,154645.79166666666,1.5121391167987497,-8.902564886663356,0.063513772072743,-2.369829664482259,-4.904877828870246,31.134615384615394,6.016112511075766
26,2020Q3,3020.9166666666665,3811.6666666666665,109916.0,32457.916666666668,32279.5,23720.166666666668,168894.20833333334,0.0,-4.036589459550188,-0.5098242430139566,-21.22956265161482,13.00450000364668,19.26424067207173,9.213581897772304
27,2020Q4,2610.375,3891.8333333333335,109276.58333333333,42176.791666666664,31089.916666666668,23945.75,176634.875,-13.589969931863944,2.103191954525596,-0.5817321105814233,29.94300311942386,-3.68525947840993,0.9510191749636299,4.583145119689069
28,2021Q1,2600.7916666666665,3682.6666666666665,108061.54166666667,33896.75,30747.083333333332,25436.0,182498.54166666666,-0.36712477453750836,-5.374502162648287,-1.111895732464785,-19.631748503076828,-1.1027155106559272,6.223442573316773,3.3196539849034146
29,2021Q2,2791.3333333333335,3764.75,105469.625,45031.5,25453.791666666668,27812.791666666668,194220.45833333334,7.326294878162121,2.2289102099927627,-2.398556069708735,32.849019448767216,-17.215589554564794,9.344203753210678,6.423019362026872
30,2021Q3,2791.7916666666665,3531.0416666666665,106259.54166666667,37778.416666666664,26094.166666666668,20502.375,206173.91666666666,0.0164198710293606,-6.207804856453514,0.7489518111652327,-16.10668828116615,2.5158334301863983,-26.284368553438398,6.1545824965658635
31,2021Q4,3009.625,3034.875,58883.666666666664,51888.875,37475.75,23363.541666666668,251346.75,7.8026357028789795,-14.051566464098176,-44.585054910755076,37.35058157104696,43.61734742758598,13.955293797263323,21.910062176471577
32,2022Q1,2690.875,5575.458333333333,52636.375,42737.916666666664,39072.333333333336,21848.916666666668,264007.7916666667,-10.591020475972924,83.71294808956986,-10.609549337394064,-17.63568459199267,4.26031055638203,-6.482857015471044,5.0372808348095655
33,2022Q2,2538.2916666666665,5245.625,49712.083333333336,49138.25,33680.083333333336,20980.333333333332,280913.4166666667,-5.670398414394329,-5.9158066227739114,-5.555647908251027,14.975772879273874,-13.800685907334264,-3.9754068660917685,6.403456842419586
34,2022Q3,2511.0416666666665,5660.416666666667,48390.416666666664,45638.083333333336,33933.208333333336,15552.208333333334,291489.5833333333,-1.07355669003103,7.907383136740931,-2.6586426841227473,-7.123099961163993,0.7515569290456048,-25.872444034889806,3.7649204485011634
