id,Año,Trimestre,Provincia,Accesos por cada 100 hogares,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_velocidad_bajada,Banda ancha fija,Dial up,Total_Bandaancha_bandaangosta
20221SantaFe,2022,1,Santa Fe,77.3,4680,12435,143796,208361,84787,58018,344170,18444.0,870479,870364,115.0,870479
20221SantiagoDelEstero,2022,1,Santiago Del Estero,47.17,1780,1401,30220,6117,13542,8490,8309,7920.0,116461,116459,2.0,116461
20221TierraDelFuego,2022,1,Tierra Del Fuego,98.29,240,8940,12849,1564,18034,1767,982,2421.0,52611,52298,313.0,52611
20221Tucumán,2022,1,Tucumán,57.39,390,2212,36028,46961,21014,5211,133846,2730.0,245584,245554,30.0,245584
20214BuenosAires,2021,4,Buenos Aires,75.66,37821,11026,352950,331292,297296,196021,3259793,22958.0,4509157,4502772,6385.0,4509157
20214CapitalFederal,2021,4,Capital Federal,111.27,5630,1695,47133,81899,66135,66755,1147939,0.0,1412119,1409935,2184.0,1412119
20214Catamarca,2021,4,Catamarca,55.25,710,0,6038,7855,9804,3262,29827,2233.0,59090,59089,1.0,59090
20214Chaco,2021,4,Chaco,44.05,4610,1120,18845,22678,21937,13692,58435,7585.0,143745,143740,5.0,143745
20214Chubut,2021,4,Chubut,82.57,1260,1294,63698,39568,31175,578,2904,15763.0,160308,159364,944.0,160308
20214Córdoba,2021,4,Córdoba,84.51,1000,2479,184548,130892,76246,41198,538700,12607.0,986770,986693,77.0,986770
20214Corrientes,2021,4,Corrientes,45.51,670,6450,28830,26368,22922,10087,39911,7082.0,135912,135908,4.0,135912
20214EntreRíos,2021,4,Entre Ríos,63.16,1070,3024,56043,49636,38295,24068,77290,16583.0,265046,265024,22.0,265046
20214Formosa,2021,4,Formosa,34.45,840,0,22908,6983,6811,1135,13775,1967.0,53663,53663,0.0,53663
20214Jujuy,2021,4,Jujuy,56.92,580,1750,22446,16793,38134,5640,33421,2324.0,113915,113915,0.0,113915
20214LaPampa,2021,4,La Pampa,89.57,3010,4930,64840,9082,12259,4821,12184,3027.0,107007,106834,173.0,107007
20214LaRioja,2021,4,La Rioja,77.92,180,10,5018,5437,23559,5671,43424,0.0,83128,83124,4.0,83128
20214Mendoza,2021,4,Mendoza,47.51,1560,1463,66428,30308,75214,18621,75031,3660.0,267587,266783,804.0,267587
20214Misiones,2021,4,Misiones,49.06,510,50,41916,23554,26721,15954,54596,8335.0,171132,171132,0.0,171132
20214Neuquén,2021,4,Neuquén,73.3,1400,9400,42313,13264,10515,331,69217,7767.0,147466,146989,477.0,147466
20214RíoNegro,2021,4,Río Negro,65.69,1560,1174,38373,19878,31255,413,36142,22645.0,153753,153189,564.0,153753
20214Salta,2021,4,Salta,56.81,1140,200,40673,69324,6642,3535,72622,6475.0,199405,199399,6.0,199405
20214SanJuan,2021,4,San Juan,39.59,440,1442,28906,10955,23978,3980,9800,4435.0,79958,79667,291.0,79958
20214SanLuis,2021,4,San Luis,80.3,620,2640,8550,4276,9107,67363,9,29218.0,118849,118662,187.0,118849
20214SantaCruz,2021,4,Santa Cruz,43.05,520,2970,20305,11641,13054,177,876,4910.0,48486,48276,210.0,48486
20214SantaFe,2021,4,Santa Fe,77.09,4670,5810,169706,206856,8569,62349,322015,18777.0,866441,866265,176.0,866441
20214SantiagoDelEstero,2021,4,Santiago Del Estero,47.05,1780,9090,31915,61524,12205,8000,7537,7930.0,115861,115859,2.0,115861
20214TierraDelFuego,2021,4,Tierra Del Fuego,98.4,260,3850,13505,16534,16562,1748,1017,258.0,52357,52042,315.0,52357
20214Tucumán,2021,4,Tucumán,55.93,390,970,37321,48736,21023,5326,125857,2400.0,238639,238609,30.0,238639
20213BuenosAires,2021,3,Buenos Aires,71.68,37193,31149,1108940,248153,141383,192797,2482266,9728.0,4251609,4246425,5184.0,4251609
20213CapitalFederal,2021,3,Capital Federal,111.27,2950,6030,156978,67013,39785,73502,1075229,0.0,1413405,1411797,1608.0,1413405
20213Catamarca,2021,3,Catamarca,52.71,710,0,6755,8428,10517,1659,26618,2206.0,56254,56253,1.0,56254
20213Chaco,2021,3,Chaco,42.96,3010,1120,22545,20986,23852,14412,49705,7958.0,139871,139868,3.0,139871
20213Chubut,2021,3,Chubut,80.71,1040,1050,89168,26281,18538,532,1643,14907.0,156066,155266,800.0,156066
20213Córdoba,2021,3,Córdoba,81.28,990,2452,204989,141285,6505,47198,476459,9256.0,946788,946726,62.0,946788
20213Corrientes,2021,3,Corrientes,44.9,670,6450,29629,28478,24792,9687,35468,5053.0,133819,133816,3.0,133819
20213EntreRíos,2021,3,Entre Ríos,62.18,1070,3024,61354,59776,39114,16284,67961,12755.0,260375,260360,15.0,260375
20213Formosa,2021,3,Formosa,33.96,3810,0,22778,7142,6978,1192,12707,1617.0,52795,52795,0.0,52795
20213Jujuy,2021,3,Jujuy,55.69,480,1750,23884,16417,37755,5610,29917,2401.0,111158,111158,0.0,111158
20213LaPampa,2021,3,La Pampa,84.28,2980,3130,65063,7395,8737,4023,10506,4152.0,100487,100371,116.0,100487
20213LaRioja,2021,3,La Rioja,77.26,180,10,5366,5979,23315,4868,42613,0.0,82160,82157,3.0,82160
20213Mendoza,2021,3,Mendoza,45.55,360,310,151871,1264,62628,7596,21087,500.0,255939,255320,619.0,255939
20213Misiones,2021,3,Misiones,45.57,510,50,41932,25099,26079,14792,42291,8279.0,158528,158528,0.0,158528
20213Neuquén,2021,3,Neuquén,69.71,1120,3270,57441,8566,6234,3631,57919,5579.0,139809,139436,373.0,139809
20213RíoNegro,2021,3,Río Negro,61.97,1250,5570,68991,373,1488,2282,34011,20009.0,144585,144084,501.0,144585
20213Salta,2021,3,Salta,55.96,1010,200,41431,70104,6962,3878,67010,6327.0,195833,195831,2.0,195833
20213SanJuan,2021,3,San Juan,39.46,180,3330,59873,7520,1325,3380,278,4641.0,79483,79227,256.0,79483
20213SanLuis,2021,3,San Luis,79.87,600,0,11552,2405,6491,67942,22,29392.0,117864,117716,148.0,117864
20213SantaCruz,2021,3,Santa Cruz,43.75,500,0,30561,8365,6799,1788,678,7350.0,48976,48779,197.0,48976
